"","Gene","Product","logFC"
"1","SARO_RS20005","3-oxoadipate enol-lactonase",5.4742138045511
"2","SARO_RS20000","3-oxoadipyl-CoA thiolase",5.31100367238416
"3","SARO_RS19995","CoA transferase subunit B",4.75834349895231
"4","SARO_RS14910","NAD(FAD)-dependent dehydrogenase",4.15688064606969
"5","SARO_RS20025","3'-RNA processing protein",3.92664369229999
"6","SARO_RS02690","1%2C6-dihydroxycyclohexa-2%2C4-diene-1-carboxylate dehydrogenase",3.79948161811371
"7","SARO_RS01680","precorrin methylase",3.40071225640741
"8","SARO_RS02725","hypothetical protein",3.24847752258465
"9","SARO_RS01265","hypothetical protein",3.10140736704131
"10","SARO_RS03240","phage major capsid protein",2.68483133114353
"11","SARO_RS17085","heme-binding protein",2.56141749513681
"12","SARO_RS05800","hypothetical protein",2.53059796430693
"13","SARO_RS03130","hypothetical protein",2.5283268864628
"14","SARO_RS03260","head-tail adaptor protein",2.48996262653979
"15","SARO_RS10880","conjugal transfer protein TraV",2.36922464873288
"16","SARO_RS03280","hypothetical protein",2.35163910417901
"17","SARO_RS19145","nucleoside-diphosphate sugar epimerase",2.34596100439248
"18","SARO_RS18800","efflux RND transporter periplasmic adaptor subunit",2.32431938976934
"19","SARO_RS03290","hypothetical protein",2.29036366091313
"20","SARO_RS06525","phosphoribosylanthranilate isomerase",2.26398570366444
"21","SARO_RS03265","Phage protein%2C HK97%2C gp10",2.25534975461567
"22","SARO_RS10895","hypothetical protein",2.25231241390514
"23","SARO_RS18635","N-acetyltransferase",2.22612624519163
"24","SARO_RS10535","enoyl-CoA hydratase",2.19474384074899
"25","SARO_RS20095","hypothetical protein",2.1811140757485
"26","SARO_RS02420","dicarboxylate/amino acid:cation symporter",2.13846222476358
"27","SARO_RS03230","phage portal protein",2.06470065507807
"28","SARO_RS08450","hypothetical protein",2.02617159408749
"29","SARO_RS02405","bifunctional hydroxymethylpyrimidine kinase/phosphomethylpyrimidine kinase",2.02386052539023
"30","SARO_RS01255","NAD(P)/FAD-dependent oxidoreductase",1.9443747819391
"31","SARO_RS03305","hypothetical protein",1.94266450227308
"32","SARO_RS01030","hypothetical protein",1.93167573894956
"33","SARO_RS03005","UrcA family protein",1.89910677073398
"34","SARO_RS01250","TonB-dependent receptor",1.89528412640013
"35","SARO_RS08465","cytochrome c",1.87781329209508
"36","SARO_RS07940","carboxylesterase",1.84593992226541
"37","SARO_RS03235","HK97 family phage prohead protease",1.8442073922215
"38","SARO_RS08635","dienelactone hydrolase",1.84004417133538
"39","SARO_RS19670","nuclear transport factor 2 family protein",1.83998742159058
"40","SARO_RS19715","NAD(P)-dependent oxidoreductase",1.79596669264226
"41","SARO_RS03250","hypothetical protein",1.75236336149201
"42","SARO_RS08470","hypothetical protein",1.74369746748954
"43","SARO_RS03285","hypothetical protein",1.70576725365301
"44","SARO_RS03225","terminase large subunit",1.68579379095252
"45","SARO_RS03215","HNH endonuclease",1.6594455202464
"46","SARO_RS20405","Lrp/AsnC family transcriptional regulator",1.65091268903995
"47","SARO_RS05510","aldehyde dehydrogenase family protein",1.63702285905008
"48","SARO_RS04390","membrane protein",1.63082745371631
"49","SARO_RS08415","benzoylformate decarboxylase",1.62335853979567
"50","SARO_RS04970","alcohol dehydrogenase",1.57684979335784
"51","SARO_RS02410","DUF1272 domain-containing protein",1.57016251121577
"52","SARO_RS19700","nuclear transport factor 2",1.56236116343633
"53","SARO_RS02310","RDD family protein",1.56208446261736
"54","SARO_RS19140","chloramphenicol hydrolase",1.55758466234694
"55","SARO_RS05340","3-hydroxy-2-methylbutyryl-CoA dehydrogenase",1.55308096553678
"56","SARO_RS08790","alpha/beta hydrolase",1.53002584127114
"57","SARO_RS05005","gluconolactonase",1.52718985092643
