Gene,Sample,RPKM
SARO_RS00005,Glu_01_HTSeq,243.804349709786
SARO_RS00010,Glu_01_HTSeq,35.0604632413992
SARO_RS00015,Glu_01_HTSeq,12.7688558712799
SARO_RS00020,Glu_01_HTSeq,35.1030607080064
SARO_RS00025,Glu_01_HTSeq,9.86179078742084
SARO_RS00035,Glu_01_HTSeq,20.4914787666523
SARO_RS00040,Glu_01_HTSeq,31.8549351736141
SARO_RS00045,Glu_01_HTSeq,68.7562948736428
SARO_RS00050,Glu_01_HTSeq,15.3148726796222
SARO_RS00055,Glu_01_HTSeq,38.2930494663657
SARO_RS00060,Glu_01_HTSeq,17.508918269185
SARO_RS00065,Glu_01_HTSeq,9.25542497062225
SARO_RS00070,Glu_01_HTSeq,5036.23394980272
SARO_RS00075,Glu_01_HTSeq,4056.85497385246
SARO_RS00080,Glu_01_HTSeq,4710.07071477059
SARO_RS00085,Glu_01_HTSeq,2382.63383900381
SARO_RS00090,Glu_01_HTSeq,25.5168731364868
SARO_RS00095,Glu_01_HTSeq,163.455433160224
SARO_RS00100,Glu_01_HTSeq,21.3088568621682
SARO_RS00110,Glu_01_HTSeq,77.2240852693676
SARO_RS00130,Glu_01_HTSeq,3.49434886900933
SARO_RS00135,Glu_01_HTSeq,13.7900152266728
SARO_RS00140,Glu_01_HTSeq,21.5236048470366
SARO_RS00145,Glu_01_HTSeq,7070.28462071409
SARO_RS00150,Glu_01_HTSeq,10135.0643656766
SARO_RS00155,Glu_01_HTSeq,18.168064776279
SARO_RS00165,Glu_01_HTSeq,29.3025305397564
SARO_RS00170,Glu_01_HTSeq,233.381643112242
SARO_RS00180,Glu_01_HTSeq,7.57027852781325
SARO_RS00185,Glu_01_HTSeq,8.96502196041042
SARO_RS00190,Glu_01_HTSeq,18.0933918689267
SARO_RS00195,Glu_01_HTSeq,87.8020623907765
SARO_RS00200,Glu_01_HTSeq,56.3133540604774
SARO_RS00205,Glu_01_HTSeq,234.133773526064
SARO_RS00210,Glu_01_HTSeq,56.5991090422073
SARO_RS00215,Glu_01_HTSeq,19.2600545999196
SARO_RS00220,Glu_01_HTSeq,47.8407451325341
SARO_RS00225,Glu_01_HTSeq,19.9093344835088
SARO_RS00230,Glu_01_HTSeq,17.1116175462837
SARO_RS00245,Glu_01_HTSeq,40.6058137523234
SARO_RS00250,Glu_01_HTSeq,6.7198011396835
SARO_RS00255,Glu_01_HTSeq,199.555584773345
SARO_RS00260,Glu_01_HTSeq,86.1141431955663
SARO_RS00265,Glu_01_HTSeq,15.6273398674975
SARO_RS00270,Glu_01_HTSeq,34.51500912531
SARO_RS00275,Glu_01_HTSeq,55.1892854360868
SARO_RS00280,Glu_01_HTSeq,5.67162835085767
SARO_RS00285,Glu_01_HTSeq,42.7474286562975
SARO_RS00295,Glu_01_HTSeq,17.3880650510994
SARO_RS00300,Glu_01_HTSeq,28.6644565333773
SARO_RS00305,Glu_01_HTSeq,185.501176046805
SARO_RS00310,Glu_01_HTSeq,84.5532229916919
SARO_RS00315,Glu_01_HTSeq,332.556486351489
SARO_RS00320,Glu_01_HTSeq,27.605491060301
SARO_RS00325,Glu_01_HTSeq,17.6971862075634
SARO_RS00335,Glu_01_HTSeq,4.47696674893717
SARO_RS00340,Glu_01_HTSeq,2.92735410952177
SARO_RS00345,Glu_01_HTSeq,5.33724663402706
SARO_RS00350,Glu_01_HTSeq,5.89906206918781
SARO_RS00355,Glu_01_HTSeq,4.56969596908914
SARO_RS00360,Glu_01_HTSeq,4.97733362087721
SARO_RS00365,Glu_01_HTSeq,48.9496639783669
SARO_RS00370,Glu_01_HTSeq,87.0423539151458
SARO_RS00375,Glu_01_HTSeq,18.764526231755
SARO_RS00380,Glu_01_HTSeq,27.3174589424889
SARO_RS00385,Glu_01_HTSeq,129.312928056196
SARO_RS00395,Glu_01_HTSeq,77.587054166086
SARO_RS00400,Glu_01_HTSeq,121.344889956158
SARO_RS00410,Glu_01_HTSeq,38.3439034497207
SARO_RS00415,Glu_01_HTSeq,11.0473344204789
SARO_RS00425,Glu_01_HTSeq,4.9118720902625
SARO_RS00430,Glu_01_HTSeq,29.3773291045552
SARO_RS00435,Glu_01_HTSeq,26.8646475313012
SARO_RS00440,Glu_01_HTSeq,11.8709520651557
SARO_RS00445,Glu_01_HTSeq,205.457423058379
SARO_RS00450,Glu_01_HTSeq,16.5094555896061
SARO_RS00455,Glu_01_HTSeq,19.0918014250072
SARO_RS00460,Glu_01_HTSeq,32.9865919787236
SARO_RS00465,Glu_01_HTSeq,13.5735700038593
