Codename,Locus_tag
ligL,SARO_RS09390
ligN,SARO_RS03965
ligD,SARO_RS01025
ligO,SARO_RS03960
ligF,SARO_RS10520
ligE,SARO_RS12100
naGST,SARO_RS13080
ligB,SARO_RS14265
ligA,SARO_RS14270
ligC,SARO_RS14260
ligI,SARO_RS14300
ligU,SARO_RS14295
ligJ,SARO_RS14275
ligK,SARO_RS14290
xylE,SARO_RS17090
xylG,SARO_RS17080
xylH,SARO_RS17055
xylI,SARO_RS17060
xylJ,SARO_RS17075
xylK,SARO_RS17065
xylQ,SARO_RS17070
metF,SARO_RS14505
folD,SARO_RS19830
purU,SARO_RS14515
ferA,SARO_RS03365
ferB,SARO_RS08365
ligV,SARO_RS08360
ligM,SARO_RS14510
desA,SARO_RS12385
desC,SARO_RS14525
desD,SARO_RS14530
baeA,SARO_RS14570
baeB,SARO_RS14565
