locus_tag,old_locus_tag,start,end,Product,Length
SARO_RS00005,Saro_0001,18,1520,chromosomal replication initiator protein DnaA,1502
SARO_RS00010,Saro_0002,1629,2423,HesA/MoeB/ThiF family protein,794
SARO_RS00015,Saro_0003,2412,3122,NAD-dependent deacylase,710
SARO_RS00020,Saro_0004,3158,3886,4-hydroxy-tetrahydrodipicolinate reductase,728
SARO_RS00025,Saro_0005,3946,5124,hypothetical protein,1178
SARO_RS00030,Saro_0006,5121,5816,endonuclease III,695
SARO_RS00035,Saro_0007,5813,6211,hypothetical protein,398
SARO_RS00040,Saro_0008,6244,7563,dicarboxylate/amino acid:cation symporter,1319
SARO_RS00045,Saro_0009,7692,8762,chorismate synthase,1070
SARO_RS00050,Saro_0010,8836,9147,antibiotic biosynthesis monooxygenase,311
SARO_RS00055,Saro_0011,9144,9491,arsenate reductase,347
SARO_RS00060,Saro_0012,9493,10056,nicotinamide riboside transporter PnuC,563
SARO_RS00065,Saro_0013,10050,10571,N-acetylglucosamine-6-phosphate deacetylase,521
SARO_RS00070,Saro_0014,10639,11079,biopolymer transporter ExbD,440
SARO_RS00075,Saro_0015,11122,11652,biopolymer transporter ExbD,530
SARO_RS00080,Saro_0016,11772,12521,MotA/TolQ/ExbB proton channel family protein,749
SARO_RS00085,Saro_0017,12595,13257,energy transducer TonB,662
SARO_RS00090,Saro_0018,13602,14504,hypothetical protein,902
SARO_RS00095,Saro_0019,14577,15884,homoserine dehydrogenase,1307
SARO_RS00100,NA,15903,16343,hypothetical protein,440
SARO_RS00105,Saro_0021,16582,17574,fructose-bisphosphatase class II,992
SARO_RS00110,Saro_0022,17872,19323,hypothetical protein,1451
SARO_RS00115,Saro_0023,19422,23705,DNA-directed RNA polymerase subunit beta',4283
SARO_RS00120,Saro_0024,23796,27974,DNA-directed RNA polymerase subunit beta,4178
SARO_RS20050,NA,28348,28623,hypothetical protein,275
SARO_RS00130,NA,28829,29299,hypothetical protein,470
SARO_RS00135,Saro_0027,29541,30233,DUF2975 domain-containing protein,692
SARO_RS00140,Saro_0028,30233,30454,transcriptional regulator,221
SARO_RS00145,Saro_0029,30749,31261,50S ribosomal protein L10,512
SARO_RS00150,Saro_0030,31331,31702,50S ribosomal protein L7/L12,371
SARO_RS00155,Saro_0031,31788,33140,sensor histidine kinase,1352
SARO_RS20435,Saro_0032,33228,33710,cytochrome c%2C class I,482
SARO_RS00165,Saro_0033,33846,35222,MATE family efflux transporter,1376
SARO_RS00170,Saro_0034,35373,35660,molecular chaperone GroES,287
SARO_RS00175,Saro_0035,35710,37353,molecular chaperone GroEL,1643
SARO_RS00180,Saro_0036,37600,39198,hybrid sensor histidine kinase/response regulator,1598
SARO_RS00185,Saro_0037,39195,39650,N-acetyltransferase,455
SARO_RS00190,Saro_0038,39737,40942,DUF445 domain-containing protein,1205
SARO_RS00195,Saro_0039,41050,44232,AcrB/AcrD/AcrF family protein,3182
SARO_RS00200,Saro_0040,44243,45412,efflux RND transporter periplasmic adaptor subunit,1169
SARO_RS00205,Saro_0041,45711,46010,DUF1153 domain-containing protein,299
SARO_RS00210,Saro_0042,46025,46357,hypothetical protein,332
SARO_RS00215,Saro_0043,46499,47653,tRNA 2-thiouridine(34) synthase MnmA,1154
SARO_RS00220,NA,47669,47941,hypothetical protein,272
SARO_RS00225,Saro_0045,48057,49208,serine hydrolase,1151
SARO_RS00230,Saro_0046,49205,50020,PhzF family phenazine biosynthesis protein,815
SARO_RS00235,Saro_0047,50017,50994,iron transporter,977
SARO_RS00240,Saro_0048,51006,51617,pyridoxine/pyridoxamine 5'-phosphate oxidase,611
SARO_RS00245,Saro_0049,51839,52816,molecular chaperone DnaJ,977
SARO_RS00250,Saro_0050,52820,53854,YihY/virulence factor BrkB family protein,1034
SARO_RS00255,Saro_0051,53851,54654,enoyl-[acyl-carrier-protein] reductase FabI,803
SARO_RS00260,Saro_0052,54739,55320,hypothetical protein,581
SARO_RS00265,Saro_0053,55425,55937,ubiquinone biosynthesis protein UbiB,512
SARO_RS00270,Saro_0054,55939,56421,disulfide bond formation protein B,482
SARO_RS00275,Saro_0055,56435,57826,S41 family peptidase,1391
SARO_RS00280,Saro_0056,57928,59172,peptidase M23,1244
SARO_RS00285,Saro_0057,59181,59606,23S rRNA (pseudouridine(1915)-N(3))-methyltransferase RlmH,425
SARO_RS00290,Saro_0058,59701,60093,ribosome silencing factor,392
SARO_RS00295,Saro_0059,60203,60889,nicotinate-nucleotide adenylyltransferase,686
SARO_RS00300,Saro_0060,60853,62130,gamma-glutamyl-phosphate reductase,1277
SARO_RS00305,Saro_0061,62365,63528,M23 family peptidase,1163
SARO_RS00310,Saro_0062,63536,63886,polymer-forming cytoskeletal protein,350
SARO_RS00315,Saro_0063,64024,64728,DUF1013 domain-containing protein,704
SARO_RS00320,Saro_0064,64795,65796,NAD(P)H quinone oxidoreductase,1001
SARO_RS00325,NA,65889,66119,DUF1192 domain-containing protein,230
SARO_RS00330,Saro_0066,66339,68717,ATP-dependent Clp protease ATP-binding subunit ClpA,2378
SARO_RS00335,Saro_0067,68843,69850,DNA ligase-associated DEXH box helicase,1007
