"","Gene","Product","logFC"
"1","SARO_RS20685","hypothetical protein",-3.14698977493016
"2","SARO_RS11090","hypothetical protein",-2.81454050943234
"3","SARO_RS11085","XRE family transcriptional regulator",-2.62707918981447
"4","SARO_RS09585","hypothetical protein",-2.43194930853379
"5","SARO_RS20265","hypothetical protein",-2.41535739045928
"6","SARO_RS16465","PqqD family protein",-2.29597959025505
"7","SARO_RS15175","hypothetical protein",-2.19854208825456
"8","SARO_RS20255","TetR/AcrR family transcriptional regulator",-2.10643646846036
"9","SARO_RS03805","hypothetical protein",-2.08464506235736
"10","SARO_RS13405","DUF87 domain-containing protein",-2.07442775323285
"11","SARO_RS15215","hypothetical protein",-1.95047050460101
"12","SARO_RS15195","hypothetical protein",-1.92446511498807
"13","SARO_RS11705","EAL domain-containing protein",-1.91443061276071
"14","SARO_RS15135","hypothetical protein",-1.83667274836012
"15","SARO_RS01400","hypothetical protein",-1.80963004364275
"16","SARO_RS08815","PilZ domain-containing protein",-1.80580290331201
"17","SARO_RS12580","hypothetical protein",-1.80018503781363
"18","SARO_RS15795","acyl carrier protein",-1.78249264826047
"19","SARO_RS11080","ImmA/IrrE family metallo-endopeptidase",-1.77480646895413
"20","SARO_RS06440","response regulator",-1.76887744352877
"21","SARO_RS15220","hypothetical protein",-1.75262820476688
"22","SARO_RS06520","porin family protein",-1.66216376771749
"23","SARO_RS09920","alpha-ketoacid dehydrogenase subunit beta",-1.59787988304839
"24","SARO_RS00825","PilZ domain-containing protein",-1.52562610465411
"25","SARO_RS14355","hypothetical protein",-1.49732416198404
"26","SARO_RS09855","fructose bisphosphate aldolase",-1.49408487473709
"27","SARO_RS12575","pilus assembly protein",-1.42860197883285
"28","SARO_RS20310","hypothetical protein",-1.41901652209706
"29","SARO_RS07195","PAS domain S-box protein",-1.4169582121726
"30","SARO_RS02550","NAD(P)/FAD-dependent oxidoreductase",-1.40419264412544
"31","SARO_RS12570","pilus assembly protein TadE",-1.37358234113771
"32","SARO_RS15275","hypothetical protein",-1.34976262650706
"33","SARO_RS17410","PIN domain-containing protein",-1.33828527020516
"34","SARO_RS02500","phasin",-1.33603339179522
"35","SARO_RS13345","glycosyltransferase family 2 protein",-1.33347217286563
"36","SARO_RS08170","TonB-dependent receptor",-1.32712623034489
"37","SARO_RS00210","hypothetical protein",-1.31650064063959
"38","SARO_RS10830","cation transporter",-1.31481492695757
